k t J res re2 iterationGibbs time J1 J2 J3
 192 7.380663e+04 -1.184632e-03 3.077251e-07 6.620133e-05 1 2.510760e+00 -2.810139e-03 7.695043e+01 2.073833e-01 
 193 1.107099e+05 -1.184632e-03 1.729635e-07 5.581481e-05 1 1.811330e+00 -2.810139e-03 7.695042e+01 2.073833e-01 
 194 1.660649e+05 -1.184632e-03 1.819128e-07 8.805412e-05 1 1.824782e+00 -2.810139e-03 7.695041e+01 2.073833e-01 
 195 6.227434e+04 -1.184632e-03 3.262761e-07 5.922471e-05 1 3.073631e+00 -2.810139e-03 7.695039e+01 2.073833e-01 
 196 1.868230e+05 -1.184632e-03 1.243626e-07 6.772185e-05 1 1.234402e+00 -2.810138e-03 7.695040e+01 2.073833e-01 
 197 7.005864e+04 -1.184632e-03 1.939662e-07 3.960921e-05 1 3.241445e+00 -2.810138e-03 7.695038e+01 2.073833e-01 
 198 2.101759e+05 -1.184632e-03 1.126227e-07 6.899498e-05 1 1.250575e+00 -2.810138e-03 7.695038e+01 2.073833e-01 
 199 7.881596e+04 -1.184632e-03 2.038071e-07 4.682113e-05 1 3.354598e+00 -2.810138e-03 7.695036e+01 2.073833e-01 
 200 1.182239e+05 -1.184632e-03 1.285685e-07 4.430458e-05 1 2.066547e+00 -2.810138e-03 7.695036e+01 2.073832e-01 
 201 8.866796e+04 -1.184632e-03 1.490225e-07 3.851475e-05 1 2.593318e+00 -2.810138e-03 7.695035e+01 2.073833e-01 
 202 1.330019e+05 -1.184632e-03 1.186861e-07 4.601148e-05 1 1.996589e+00 -2.810138e-03 7.695035e+01 2.073832e-01 
 203 9.975146e+04 -1.184632e-03 1.603307e-07 4.661701e-05 1 2.525230e+00 -2.810138e-03 7.695034e+01 2.073832e-01 
 204 7.481359e+04 -1.184632e-03 1.505808e-07 3.283664e-05 1 2.258926e+00 -2.810137e-03 7.695034e+01 2.073832e-01 
 205 1.122204e+05 -1.184632e-03 9.015775e-08 2.949058e-05 1 1.789599e+00 -2.810138e-03 7.695034e+01 2.073832e-01 
