k t J res re2 iterationGibbs time J1 J2 J3
 27 5.259772e+04 -7.512643e-04 5.950061e-04 6.741240e-02 1 8.255850e-01 -2.711163e-03 5.604367e+01 3.492543e-01 
 28 7.889657e+04 -7.513170e-04 3.283069e-04 5.402375e-02 3 6.972070e-01 -2.710501e-03 5.605436e+01 3.486404e-01 
 29 5.917243e+04 -7.513217e-04 3.928571e-04 5.007322e-02 1 1.016728e+00 -2.710782e-03 5.605217e+01 3.488475e-01 
 30 8.875865e+04 -7.513433e-04 3.099354e-04 5.867642e-02 3 7.959610e-01 -2.710213e-03 5.606129e+01 3.483356e-01 
 31 1.331380e+05 -7.513583e-04 5.625251e-04 1.328354e-01 3 7.213500e-01 -2.710599e-03 5.606951e+01 3.484395e-01 
 32 4.992674e+04 -7.514379e-04 1.253044e-03 1.338441e-01 3 1.402609e+00 -2.709403e-03 5.612623e+01 3.467561e-01 
 33 3.744505e+04 -7.516276e-04 6.174616e-04 4.980305e-02 1 8.258490e-01 -2.710733e-03 5.610560e+01 3.477909e-01 
 34 1.123352e+05 -7.516934e-04 1.500947e-04 3.575108e-02 2 4.996490e-01 -2.710117e-03 5.610982e+01 3.472986e-01 
 35 8.425137e+04 -7.517089e-04 1.436799e-04 2.607501e-02 1 1.065705e+00 -2.709918e-03 5.610782e+01 3.471961e-01 
 36 6.318853e+04 -7.517135e-04 1.777545e-04 2.415600e-02 3 9.646280e-01 -2.709580e-03 5.611542e+01 3.468628e-01 
 37 4.739140e+04 -7.517185e-04 1.559232e-04 1.591703e-02 1 8.607260e-01 -2.709723e-03 5.611451e+01 3.469638e-01 
 38 1.421742e+05 -7.517236e-04 9.458307e-05 2.896581e-02 1 4.608460e-01 -2.709514e-03 5.611954e+01 3.467510e-01 
 39 1.066306e+05 -7.517289e-04 2.015646e-04 4.629645e-02 1 8.837090e-01 -2.709546e-03 5.612560e+01 3.466732e-01 
 40 7.997298e+04 -7.517349e-04 4.803378e-04 7.108006e-02 3 9.260630e-01 -2.709039e-03 5.614581e+01 3.460371e-01 
 41 1.199595e+05 -7.518131e-04 1.069598e-03 1.389226e-01 4 8.647600e-01 -2.709778e-03 5.615647e+01 3.462836e-01 
 42 4.498480e+04 -7.518149e-04 1.398048e-03 1.244764e-01 3 1.365284e+00 -2.708312e-03 5.620572e+01 3.445966e-01 
 43 6.747720e+04 -7.520893e-04 4.929814e-04 7.164700e-02 3 6.720410e-01 -2.709835e-03 5.618186e+01 3.457494e-01 
 44 5.060790e+04 -7.521408e-04 6.014538e-04 5.021487e-02 1 8.623050e-01 -2.709028e-03 5.620489e+01 3.448530e-01 
 45 3.795593e+04 -7.521680e-04 2.370711e-04 1.938250e-02 1 8.124670e-01 -2.709505e-03 5.619507e+01 3.452874e-01 
 46 1.138678e+05 -7.521773e-04 5.648209e-05 1.385362e-02 1 6.066760e-01 -2.709227e-03 5.619833e+01 3.450571e-01 
 47 8.540084e+04 -7.521791e-04 7.735234e-05 1.392293e-02 3 8.826840e-01 -2.709119e-03 5.619640e+01 3.450186e-01 
 48 6.405063e+04 -7.521795e-04 1.046761e-04 1.444184e-02 1 8.367040e-01 -2.708903e-03 5.619938e+01 3.448366e-01 
 49 4.803797e+04 -7.521804e-04 9.373114e-05 9.694491e-03 2 8.361980e-01 -2.708999e-03 5.619670e+01 3.449380e-01 
 50 7.205695e+04 -7.521818e-04 4.573729e-05 7.099010e-03 1 6.396010e-01 -2.708871e-03 5.619854e+01 3.448287e-01 
 51 5.404272e+04 -7.521821e-04 4.851049e-05 5.647086e-03 1 7.709070e-01 -2.708905e-03 5.619779e+01 3.448615e-01 
 52 8.106407e+04 -7.521825e-04 3.278976e-05 5.725563e-03 1 6.412210e-01 -2.708836e-03 5.619921e+01 3.447956e-01 
 53 6.079806e+04 -7.521827e-04 4.087145e-05 5.352557e-03 1 8.339290e-01 -2.708869e-03 5.619916e+01 3.448171e-01 
 54 4.559854e+04 -7.521829e-04 3.387934e-05 3.327648e-03 1 8.348330e-01 -2.708807e-03 5.620069e+01 3.447545e-01 
 55 1.367956e+05 -7.521831e-04 1.803958e-05 5.315575e-03 1 5.026510e-01 -2.708834e-03 5.620054e+01 3.447735e-01 
 56 5.129836e+04 -7.521832e-04 3.571530e-05 3.939290e-03 3 1.225046e+00 -2.708785e-03 5.620236e+01 3.447140e-01 
 57 7.694754e+04 -7.521834e-04 2.119220e-05 3.512548e-03 1 5.860100e-01 -2.708821e-03 5.620209e+01 3.447406e-01 
 58 5.771065e+04 -7.521835e-04 2.519415e-05 3.131895e-03 1 8.807190e-01 -2.708783e-03 5.620323e+01 3.446994e-01 
 59 4.328299e+04 -7.521836e-04 1.905940e-05 1.776962e-03 1 9.749610e-01 -2.708810e-03 5.620307e+01 3.447188e-01 
 60 1.298490e+05 -7.521836e-04 9.864977e-06 2.759219e-03 1 5.928190e-01 -2.708791e-03 5.620360e+01 3.446985e-01 
 61 4.869336e+04 -7.521837e-04 1.575893e-05 1.652906e-03 1 1.038759e+00 -2.708799e-03 5.620408e+01 3.446960e-01 
 62 7.304005e+04 -7.521837e-04 9.258154e-06 1.456589e-03 1 6.420390e-01 -2.708782e-03 5.620457e+01 3.446772e-01 
 63 5.478004e+04 -7.521838e-04 9.749655e-06 1.150438e-03 1 8.115770e-01 -2.708789e-03 5.620474e+01 3.446795e-01 
 64 8.217005e+04 -7.521838e-04 7.545624e-06 1.335550e-03 1 6.185290e-01 -2.708778e-03 5.620513e+01 3.446662e-01 
 65 6.162754e+04 -7.521838e-04 8.865353e-06 1.176854e-03 1 8.181560e-01 -2.708784e-03 5.620533e+01 3.446670e-01 
 66 9.244131e+04 -7.521838e-04 7.854088e-06 1.563916e-03 1 7.553920e-01 -2.708772e-03 5.620570e+01 3.446536e-01 
 67 6.933098e+04 -7.521838e-04 1.153223e-05 1.722234e-03 1 8.713860e-01 -2.708781e-03 5.620582e+01 3.446574e-01 
 68 5.199824e+04 -7.521838e-04 1.217276e-05 1.363418e-03 1 8.388660e-01 -2.708762e-03 5.620631e+01 3.446381e-01 
 69 7.799735e+04 -7.521839e-04 7.747238e-06 1.301602e-03 1 6.018570e-01 -2.708774e-03 5.620627e+01 3.446459e-01 
 70 5.849802e+04 -7.521839e-04 9.456174e-06 1.191539e-03 1 7.929930e-01 -2.708760e-03 5.620669e+01 3.446308e-01 
 71 8.774702e+04 -7.521839e-04 7.658452e-06 1.447521e-03 1 6.025480e-01 -2.708770e-03 5.620671e+01 3.446362e-01 
 72 6.581027e+04 -7.521839e-04 1.108208e-05 1.570965e-03 1 8.858790e-01 -2.708754e-03 5.620718e+01 3.446193e-01 
 73 4.935770e+04 -7.521839e-04 1.081151e-05 1.149457e-03 1 9.777490e-01 -2.708767e-03 5.620716e+01 3.446278e-01 
 74 7.403655e+04 -7.521839e-04 6.484383e-06 1.034109e-03 1 6.622960e-01 -2.708755e-03 5.620749e+01 3.446147e-01 
 75 5.552741e+04 -7.521839e-04 7.328451e-06 8.765388e-04 1 8.598250e-01 -2.708760e-03 5.620762e+01 3.446161e-01 
 76 8.329112e+04 -7.521840e-04 6.035814e-06 1.066507e-03 3 6.781640e-01 -2.708751e-03 5.620792e+01 3.446057e-01 
 77 6.246834e+04 -7.521840e-04 7.268701e-06 9.780664e-04 1 9.348700e-01 -2.708755e-03 5.620811e+01 3.446054e-01 
 78 9.370251e+04 -7.521840e-04 6.517225e-06 1.315423e-03 1 6.759690e-01 -2.708745e-03 5.620844e+01 3.445939e-01 
 79 7.027688e+04 -7.521840e-04 9.748238e-06 1.475673e-03 1 9.346500e-01 -2.708753e-03 5.620857e+01 3.445966e-01 
 80 5.270766e+04 -7.521840e-04 1.054254e-05 1.196935e-03 1 9.062930e-01 -2.708737e-03 5.620896e+01 3.445803e-01 
 81 7.906149e+04 -7.521840e-04 6.745916e-06 1.148834e-03 1 6.260160e-01 -2.708747e-03 5.620892e+01 3.445874e-01 
 82 5.929612e+04 -7.521840e-04 8.535043e-06 1.090143e-03 1 9.334590e-01 -2.708735e-03 5.620927e+01 3.445744e-01 
 83 4.447209e+04 -7.521840e-04 6.917927e-06 6.626971e-04 1 8.829310e-01 -2.708744e-03 5.620926e+01 3.445802e-01 
 84 1.334163e+05 -7.521840e-04 3.815130e-06 1.096402e-03 1 4.841870e-01 -2.708737e-03 5.620946e+01 3.445728e-01 
 85 5.003110e+04 -7.521841e-04 6.790775e-06 7.318312e-04 1 1.198297e+00 -2.708740e-03 5.620968e+01 3.445713e-01 
 86 7.504665e+04 -7.521841e-04 4.279219e-06 6.917470e-04 1 7.189740e-01 -2.708732e-03 5.620989e+01 3.445630e-01 
 87 5.628499e+04 -7.521841e-04 4.812367e-06 5.834489e-04 1 7.696130e-01 -2.708736e-03 5.620999e+01 3.445637e-01 
 88 8.442748e+04 -7.521841e-04 3.935307e-06 7.156720e-04 1 6.867810e-01 -2.708730e-03 5.621018e+01 3.445570e-01 
 89 6.332061e+04 -7.521841e-04 4.948322e-06 6.749236e-04 1 7.818680e-01 -2.708733e-03 5.621030e+01 3.445571e-01 
 90 9.498092e+04 -7.521841e-04 4.636014e-06 9.484898e-04 1 1.007184e+00 -2.708726e-03 5.621052e+01 3.445493e-01 
 91 7.123569e+04 -7.521841e-04 7.251397e-06 1.112681e-03 1 1.009515e+00 -2.708732e-03 5.621063e+01 3.445512e-01 
 92 5.342677e+04 -7.521841e-04 8.101918e-06 9.323914e-04 1 8.264490e-01 -2.708720e-03 5.621095e+01 3.445386e-01 
 93 8.014015e+04 -7.521841e-04 5.493527e-06 9.483157e-04 1 6.208840e-01 -2.708727e-03 5.621095e+01 3.445435e-01 
 94 6.010511e+04 -7.521841e-04 7.127778e-06 9.228202e-04 1 8.373330e-01 -2.708718e-03 5.621127e+01 3.445324e-01 
 95 9.015767e+04 -7.521841e-04 6.110559e-06 1.186684e-03 1 6.194590e-01 -2.708725e-03 5.621130e+01 3.445364e-01 
 96 6.761825e+04 -7.521841e-04 9.408102e-06 1.370306e-03 1 8.538840e-01 -2.708712e-03 5.621170e+01 3.445224e-01 
 97 5.071369e+04 -7.521841e-04 9.732633e-06 1.063181e-03 1 9.475490e-01 -2.708724e-03 5.621170e+01 3.445294e-01 
 98 7.607053e+04 -7.521841e-04 6.202487e-06 1.016328e-03 1 6.285920e-01 -2.708712e-03 5.621201e+01 3.445173e-01 
 99 5.705290e+04 -7.521841e-04 7.494108e-06 9.209779e-04 1 7.952840e-01 -2.708718e-03 5.621216e+01 3.445187e-01 
 100 1.711587e+05 -7.521842e-04 6.525010e-06 2.405646e-03 1 4.059020e-01 -2.708708e-03 5.621248e+01 3.445076e-01 
 101 6.418451e+04 -7.521842e-04 1.886176e-05 2.557021e-03 2 1.044673e+00 -2.708719e-03 5.621297e+01 3.445065e-01 
 102 4.813838e+04 -7.521842e-04 1.688328e-05 1.750652e-03 1 8.245570e-01 -2.708691e-03 5.621362e+01 3.444791e-01 
 103 7.220758e+04 -7.521842e-04 8.263550e-06 1.285290e-03 1 6.408350e-01 -2.708707e-03 5.621352e+01 3.444908e-01 
 104 5.415568e+04 -7.521842e-04 9.147261e-06 1.067055e-03 1 8.480820e-01 -2.708694e-03 5.621385e+01 3.444769e-01 
 105 8.123352e+04 -7.521842e-04 6.133664e-06 1.073265e-03 1 7.207720e-01 -2.708703e-03 5.621381e+01 3.444834e-01 
 106 6.092514e+04 -7.521842e-04 8.091416e-06 1.061873e-03 1 8.167390e-01 -2.708692e-03 5.621408e+01 3.444720e-01 
 107 4.569386e+04 -7.521843e-04 6.766112e-06 6.659606e-04 1 8.215150e-01 -2.708701e-03 5.621403e+01 3.444789e-01 
 108 6.854079e+04 -7.521843e-04 3.173865e-06 4.685858e-04 1 6.815570e-01 -2.708694e-03 5.621418e+01 3.444721e-01 
 109 5.140559e+04 -7.521843e-04 3.116953e-06 3.451374e-04 1 9.394510e-01 -2.708697e-03 5.621421e+01 3.444733e-01 
 110 7.710838e+04 -7.521843e-04 2.164195e-06 3.594591e-04 1 7.652350e-01 -2.708693e-03 5.621431e+01 3.444697e-01 
 111 5.783129e+04 -7.521843e-04 2.307030e-06 2.873873e-04 1 9.009200e-01 -2.708695e-03 5.621436e+01 3.444700e-01 
 112 8.674693e+04 -7.521843e-04 1.854629e-06 3.465475e-04 1 6.266130e-01 -2.708692e-03 5.621444e+01 3.444670e-01 
 113 6.506020e+04 -7.521843e-04 2.393810e-06 3.354722e-04 1 9.514390e-01 -2.708694e-03 5.621447e+01 3.444677e-01 
 114 4.879515e+04 -7.521843e-04 2.251073e-06 2.366016e-04 1 8.800560e-01 -2.708691e-03 5.621456e+01 3.444642e-01 
 115 7.319272e+04 -7.521843e-04 1.297600e-06 2.045787e-04 1 6.763440e-01 -2.708693e-03 5.621456e+01 3.444654e-01 
 116 5.489454e+04 -7.521843e-04 1.373184e-06 1.623714e-04 1 9.193950e-01 -2.708691e-03 5.621462e+01 3.444633e-01 
 117 8.234181e+04 -7.521843e-04 1.015333e-06 1.800863e-04 1 8.428000e-01 -2.708692e-03 5.621463e+01 3.444639e-01 
 118 6.175636e+04 -7.521843e-04 1.239757e-06 1.649187e-04 1 8.474290e-01 -2.708691e-03 5.621468e+01 3.444620e-01 
 119 4.631727e+04 -7.521843e-04 1.071296e-06 1.068818e-04 1 8.375540e-01 -2.708692e-03 5.621468e+01 3.444628e-01 
 120 1.389518e+05 -7.521843e-04 6.100795e-07 1.826006e-04 1 4.042970e-01 -2.708691e-03 5.621471e+01 3.444617e-01 
 121 5.210693e+04 -7.521843e-04 1.213798e-06 1.362365e-04 1 1.169779e+00 -2.708692e-03 5.621474e+01 3.444618e-01 
 122 7.816039e+04 -7.521843e-04 7.355644e-07 1.238394e-04 1 8.975440e-01 -2.708690e-03 5.621477e+01 3.444604e-01 
 123 5.862030e+04 -7.521843e-04 9.285313e-07 1.172455e-04 1 9.584660e-01 -2.708691e-03 5.621477e+01 3.444610e-01 
 124 4.396522e+04 -7.521843e-04 7.204663e-07 6.822986e-05 1 8.653660e-01 -2.708690e-03 5.621480e+01 3.444598e-01 
 125 1.318957e+05 -7.521843e-04 3.236556e-07 9.195285e-05 1 4.070670e-01 -2.708690e-03 5.621479e+01 3.444602e-01 
 126 4.946087e+04 -7.521843e-04 6.654070e-07 7.089256e-05 1 1.057747e+00 -2.708690e-03 5.621482e+01 3.444593e-01 
 127 7.419131e+04 -7.521843e-04 3.541658e-07 5.659932e-05 1 6.437990e-01 -2.708690e-03 5.621482e+01 3.444597e-01 
 128 5.564348e+04 -7.521843e-04 4.096579e-07 4.910065e-05 1 9.680370e-01 -2.708690e-03 5.621483e+01 3.444591e-01 
 129 4.173261e+04 -7.521843e-04 2.894811e-07 2.602240e-05 1 8.480050e-01 -2.708690e-03 5.621483e+01 3.444594e-01 
 130 1.251978e+05 -7.521843e-04 1.402413e-07 3.782023e-05 1 4.456950e-01 -2.708690e-03 5.621484e+01 3.444592e-01 
 131 4.694919e+04 -7.521843e-04 2.046586e-07 2.069711e-05 1 1.043537e+00 -2.708690e-03 5.621485e+01 3.444591e-01 
 132 1.408476e+05 -7.521843e-04 1.159621e-07 3.518171e-05 1 4.134580e-01 -2.708690e-03 5.621485e+01 3.444589e-01 
 133 5.281784e+04 -7.521843e-04 2.484955e-07 2.827162e-05 1 1.056256e+00 -2.708690e-03 5.621486e+01 3.444589e-01 
 134 3.961338e+04 -7.521843e-04 1.532275e-07 1.307465e-05 1 1.026855e+00 -2.708690e-03 5.621486e+01 3.444586e-01 
 135 1.188401e+05 -7.521843e-04 6.306377e-08 1.614339e-05 1 5.601920e-01 -2.708690e-03 5.621486e+01 3.444587e-01 
