k t J res re2 iterationGibbs time J1 J2 J3
 0 NaN -5.962883e-04 NaN NaN NaN NaN -2.623950e-03 4.914371e+01 4.994179e-01 
 1 4.550343e+04 -5.962883e-04 2.864609e-02 1.885699e+00 12 8.913020e-01 -2.623950e-03 4.914371e+01 4.994179e-01 
 2 1.365103e+05 -7.260078e-04 7.084894e-03 1.285209e+00 8 5.862860e-01 -2.669958e-03 5.307517e+01 3.856693e-01 
 3 1.023827e+05 -7.359420e-04 6.302052e-03 1.343893e+00 7 1.076586e+00 -2.705051e-03 5.712528e+01 3.381107e-01 
 4 7.678703e+04 -7.361089e-04 8.106493e-03 1.319260e+00 6 1.006388e+00 -2.698093e-03 5.510780e+01 3.651809e-01 
 5 5.759027e+04 -7.380697e-04 7.757129e-03 9.476099e-01 6 1.062176e+00 -2.714072e-03 5.632894e+01 3.548617e-01 
 6 4.319270e+04 -7.470371e-04 4.175352e-03 3.859028e-01 4 1.169287e+00 -2.708681e-03 5.599580e+01 3.510931e-01 
 7 6.478906e+04 -7.496780e-04 1.440242e-03 2.003757e-01 4 7.411230e-01 -2.714276e-03 5.586746e+01 3.549447e-01 
 8 4.859179e+04 -7.500842e-04 1.251415e-03 1.296561e-01 3 9.522700e-01 -2.712680e-03 5.595923e+01 3.522595e-01 
 9 7.288769e+04 -7.503798e-04 7.522303e-04 1.161089e-01 4 6.988770e-01 -2.714496e-03 5.592938e+01 3.536763e-01 
 10 5.466577e+04 -7.505497e-04 7.698247e-04 9.041105e-02 3 9.127750e-01 -2.713732e-03 5.597365e+01 3.524006e-01 
 11 8.199865e+04 -7.506796e-04 5.811460e-04 1.023066e-01 3 7.541140e-01 -2.714655e-03 5.595941e+01 3.531189e-01 
 12 6.149899e+04 -7.507676e-04 7.622014e-04 9.499792e-02 4 1.126174e+00 -2.713716e-03 5.598552e+01 3.520693e-01 
 13 4.612424e+04 -7.508490e-04 6.552196e-04 6.400589e-02 3 1.055733e+00 -2.714506e-03 5.597427e+01 3.526875e-01 
 14 1.383727e+05 -7.509304e-04 3.823694e-04 1.092657e-01 3 4.333540e-01 -2.713777e-03 5.598643e+01 3.519911e-01 
 15 5.188977e+04 -7.509565e-04 8.222574e-04 9.127419e-02 4 1.139716e+00 -2.713949e-03 5.598991e+01 3.520282e-01 
 16 3.891733e+04 -7.510467e-04 5.481810e-04 4.420318e-02 3 8.813580e-01 -2.713004e-03 5.600607e+01 3.511285e-01 
 17 1.167520e+05 -7.510948e-04 2.435327e-04 5.851620e-02 3 6.720130e-01 -2.713167e-03 5.600163e+01 3.512699e-01 
 18 8.756399e+04 -7.511272e-04 3.735664e-04 6.877695e-02 3 1.027668e+00 -2.712451e-03 5.601070e+01 3.506602e-01 
 19 6.567299e+04 -7.511354e-04 5.561324e-04 7.867133e-02 1 9.064760e-01 -2.712593e-03 5.601486e+01 3.506786e-01 
 20 4.925474e+04 -7.511491e-04 5.727268e-04 6.076410e-02 1 8.739150e-01 -2.711864e-03 5.602445e+01 3.500648e-01 
 21 7.388211e+04 -7.511888e-04 3.335754e-04 5.308659e-02 1 6.299890e-01 -2.712106e-03 5.601772e+01 3.502962e-01 
 22 5.541159e+04 -7.511923e-04 4.228828e-04 5.047451e-02 1 9.939660e-01 -2.711551e-03 5.602121e+01 3.498926e-01 
 23 8.311738e+04 -7.512122e-04 3.287576e-04 5.756620e-02 3 7.325920e-01 -2.711703e-03 5.601849e+01 3.500177e-01 
 24 6.233803e+04 -7.512137e-04 5.020940e-04 6.649431e-02 3 1.110151e+00 -2.711125e-03 5.602744e+01 3.495157e-01 
 25 9.350705e+04 -7.512444e-04 4.839801e-04 7.551848e-02 4 7.116270e-01 -2.711341e-03 5.603200e+01 3.495601e-01 
 26 7.013029e+04 -7.512462e-04 6.105758e-04 9.206334e-02 3 9.005710e-01 -2.710654e-03 5.605193e+01 3.488186e-01 
