k t J res re2 iterationGibbs time J1 J2 J3
 32 9.234686e+04 -1.305063e-03 3.344613e-04 1.313215e-01 4 1.796394e+01 -2.839430e-03 1.258440e+02 1.168502e-01 
 33 2.770406e+05 -1.305108e-03 2.348341e-04 1.527024e-01 7 5.996719e+00 -2.839904e-03 1.258207e+02 1.169401e-01 
 34 1.038902e+05 -1.305246e-03 2.165417e-04 9.501500e-02 10 1.536167e+01 -2.839934e-03 1.258800e+02 1.168653e-01 
 35 3.116707e+05 -1.305291e-03 1.653325e-04 1.502635e-01 8 7.367390e+00 -2.840262e-03 1.258810e+02 1.169086e-01 
 36 1.168765e+05 -1.305391e-03 2.070773e-04 1.016892e-01 6 1.472239e+01 -2.840396e-03 1.259450e+02 1.168515e-01 
 37 3.506295e+05 -1.305427e-03 1.707271e-04 1.663319e-01 8 7.056155e+00 -2.840744e-03 1.259388e+02 1.169061e-01 
 38 1.314861e+05 -1.305534e-03 2.237214e-04 1.249591e-01 5 1.426436e+01 -2.840876e-03 1.259996e+02 1.168507e-01 
 39 3.944582e+05 -1.305553e-03 2.102816e-04 1.965120e-01 7 6.720291e+00 -2.841298e-03 1.259922e+02 1.169210e-01 
 40 7.396091e+04 -1.305671e-03 2.852167e-04 8.972970e-02 3 1.862624e+01 -2.841399e-03 1.260717e+02 1.168406e-01 
 41 2.218827e+05 -1.305728e-03 1.714663e-04 1.093385e-01 6 5.768521e+00 -2.841729e-03 1.260582e+02 1.168965e-01 
 42 1.664120e+05 -1.305817e-03 1.542926e-04 1.082602e-01 5 1.214797e+01 -2.841822e-03 1.261058e+02 1.168506e-01 
 43 4.992361e+05 -1.305848e-03 1.713197e-04 2.318343e-01 8 7.406553e+00 -2.842159e-03 1.261171e+02 1.168873e-01 
 44 9.360677e+04 -1.305948e-03 3.474937e-04 1.382564e-01 4 1.688243e+01 -2.842389e-03 1.261972e+02 1.168295e-01 
 45 2.808203e+05 -1.305950e-03 2.823041e-04 1.504359e-01 7 6.137046e+00 -2.842823e-03 1.261770e+02 1.169167e-01 
 46 1.053076e+05 -1.306115e-03 1.900578e-04 8.477719e-02 3 1.352613e+01 -2.842802e-03 1.262423e+02 1.168238e-01 
 47 3.159229e+05 -1.306153e-03 1.453967e-04 1.337429e-01 8 6.422190e+00 -2.843076e-03 1.262452e+02 1.168577e-01 
 48 1.184711e+05 -1.306233e-03 1.738429e-04 8.734150e-02 5 1.602345e+01 -2.843195e-03 1.262952e+02 1.168151e-01 
 49 3.554132e+05 -1.306260e-03 1.469130e-04 1.441219e-01 9 5.849099e+00 -2.843434e-03 1.262945e+02 1.168490e-01 
 50 1.332800e+05 -1.306328e-03 1.970836e-04 1.101950e-01 6 1.404972e+01 -2.843566e-03 1.263246e+02 1.168296e-01 
 51 3.998399e+05 -1.306340e-03 1.938571e-04 1.670617e-01 8 6.725118e+00 -2.843845e-03 1.263194e+02 1.168764e-01 
 52 7.496998e+04 -1.306395e-03 2.709033e-04 8.638538e-02 3 1.700965e+01 -2.843913e-03 1.263523e+02 1.168462e-01 
 53 2.249099e+05 -1.306442e-03 1.738215e-04 8.731051e-02 6 7.145246e+00 -2.844157e-03 1.263382e+02 1.168908e-01 
 54 1.686824e+05 -1.306505e-03 1.018567e-04 7.272851e-02 4 1.205902e+01 -2.844190e-03 1.263584e+02 1.168665e-01 
 55 5.060473e+05 -1.306525e-03 1.108985e-04 1.666249e-01 5 6.373657e+00 -2.844403e-03 1.263626e+02 1.168925e-01 
 56 9.488388e+04 -1.306564e-03 2.396354e-04 9.672056e-02 1 1.893745e+01 -2.844519e-03 1.263982e+02 1.168697e-01 
 57 2.846516e+05 -1.306599e-03 1.434010e-04 1.004384e-01 5 5.761618e+00 -2.844803e-03 1.263813e+02 1.169250e-01 
 58 1.067444e+05 -1.306651e-03 1.263272e-04 5.734856e-02 3 1.387769e+01 -2.844796e-03 1.264102e+02 1.168877e-01 
 59 3.202331e+05 -1.306673e-03 8.963315e-05 8.961196e-02 5 5.520740e+00 -2.844970e-03 1.264087e+02 1.169130e-01 
 60 1.200874e+05 -1.306709e-03 1.057055e-04 5.391884e-02 4 1.363388e+01 -2.845045e-03 1.264318e+02 1.168963e-01 
 61 3.602622e+05 -1.306726e-03 8.729377e-05 9.801460e-02 5 5.845420e+00 -2.845189e-03 1.264313e+02 1.169169e-01 
 62 1.350983e+05 -1.306759e-03 1.201460e-04 6.828767e-02 4 1.689726e+01 -2.845272e-03 1.264546e+02 1.169020e-01 
 63 4.052950e+05 -1.306772e-03 1.091142e-04 1.195569e-01 5 5.894847e+00 -2.845447e-03 1.264535e+02 1.169283e-01 
 64 7.599281e+04 -1.306791e-03 1.893304e-04 6.098334e-02 3 1.847159e+01 -2.845487e-03 1.264876e+02 1.168981e-01 
 65 2.279784e+05 -1.306824e-03 8.867199e-05 5.899211e-02 6 6.657048e+00 -2.845659e-03 1.264770e+02 1.169304e-01 
 66 3.419676e+05 -1.306852e-03 6.150321e-05 8.855655e-02 4 8.269507e+00 -2.845702e-03 1.264948e+02 1.169152e-01 
 67 2.564757e+05 -1.306864e-03 1.105990e-04 9.197040e-02 5 1.271842e+01 -2.845928e-03 1.265094e+02 1.169344e-01 
 68 9.617840e+04 -1.306884e-03 1.313980e-04 5.363424e-02 3 1.437492e+01 -2.845900e-03 1.265283e+02 1.169085e-01 
 69 2.885352e+05 -1.306904e-03 7.637210e-05 6.378794e-02 6 5.467527e+00 -2.846048e-03 1.265238e+02 1.169329e-01 
 70 2.164014e+05 -1.306927e-03 7.011018e-05 6.437790e-02 4 1.113747e+01 -2.846095e-03 1.265467e+02 1.169142e-01 
 71 3.246021e+05 -1.306937e-03 9.323437e-05 1.016615e-01 7 9.002337e+00 -2.846267e-03 1.265516e+02 1.169348e-01 
 72 1.217258e+05 -1.306938e-03 1.787165e-04 9.250487e-02 4 1.404671e+01 -2.846234e-03 1.265835e+02 1.168984e-01 
 73 3.651774e+05 -1.306955e-03 1.318775e-04 1.181227e-01 7 6.144362e+00 -2.846479e-03 1.265723e+02 1.169450e-01 
 74 1.369415e+05 -1.306955e-03 2.299841e-04 1.329456e-01 4 1.509299e+01 -2.846397e-03 1.266175e+02 1.168878e-01 
 75 4.108245e+05 -1.306956e-03 1.830728e-04 1.599323e-01 7 6.419975e+00 -2.846740e-03 1.266002e+02 1.169582e-01 
 76 7.702960e+04 -1.306961e-03 2.853891e-04 9.351269e-02 3 1.817627e+01 -2.846587e-03 1.266477e+02 1.168872e-01 
 77 2.310888e+05 -1.307023e-03 1.301501e-04 7.746334e-02 7 5.673743e+00 -2.846859e-03 1.266259e+02 1.169412e-01 
 78 1.733166e+05 -1.307051e-03 9.961882e-05 7.270982e-02 5 1.217354e+01 -2.846787e-03 1.266585e+02 1.168939e-01 
 79 2.599749e+05 -1.307062e-03 9.054957e-05 9.024729e-02 6 1.128791e+01 -2.846959e-03 1.266573e+02 1.169202e-01 
 80 9.749059e+04 -1.307068e-03 1.537020e-04 6.373819e-02 3 1.328767e+01 -2.846879e-03 1.266760e+02 1.168884e-01 
 81 2.924718e+05 -1.307093e-03 6.736365e-05 7.192041e-02 6 7.536685e+00 -2.847033e-03 1.266687e+02 1.169157e-01 
 82 1.096769e+05 -1.307105e-03 1.063731e-04 4.928317e-02 5 1.387560e+01 -2.847013e-03 1.266876e+02 1.168921e-01 
 83 3.290307e+05 -1.307121e-03 5.644118e-05 7.190032e-02 5 6.261844e+00 -2.847128e-03 1.266822e+02 1.169130e-01 
 84 1.233865e+05 -1.307133e-03 1.009141e-04 5.240649e-02 3 1.508904e+01 -2.847121e-03 1.266940e+02 1.168985e-01 
 85 3.701596e+05 -1.307146e-03 6.097673e-05 8.244628e-02 6 6.295736e+00 -2.847248e-03 1.266850e+02 1.169251e-01 
 86 1.388098e+05 -1.307149e-03 1.419665e-04 8.334829e-02 4 1.600500e+01 -2.847206e-03 1.266993e+02 1.169041e-01 
 87 2.082148e+05 -1.307157e-03 1.026522e-04 8.323642e-02 6 1.010148e+01 -2.847395e-03 1.266850e+02 1.169464e-01 
 88 1.561611e+05 -1.307168e-03 1.287528e-04 8.499494e-02 4 1.073318e+01 -2.847281e-03 1.267014e+02 1.169108e-01 
 89 2.342416e+05 -1.307169e-03 1.087884e-04 9.248622e-02 6 9.288626e+00 -2.847466e-03 1.266889e+02 1.169519e-01 
 90 8.784060e+04 -1.307177e-03 1.534096e-04 5.715885e-02 3 1.524685e+01 -2.847331e-03 1.267064e+02 1.169123e-01 
 91 2.635218e+05 -1.307199e-03 5.380563e-05 5.358196e-02 5 5.765238e+00 -2.847466e-03 1.266953e+02 1.169408e-01 
 92 9.882068e+04 -1.307205e-03 8.306881e-05 3.461624e-02 4 1.540083e+01 -2.847426e-03 1.267080e+02 1.169213e-01 
 93 2.964620e+05 -1.307215e-03 3.930793e-05 4.595508e-02 4 5.814031e+00 -2.847503e-03 1.267030e+02 1.169366e-01 
 94 2.223465e+05 -1.307222e-03 5.867523e-05 5.527176e-02 5 1.109699e+01 -2.847489e-03 1.267098e+02 1.169267e-01 
 95 1.667599e+05 -1.307223e-03 7.965198e-05 5.396705e-02 4 1.188119e+01 -2.847602e-03 1.267031e+02 1.169508e-01 
 96 1.250699e+05 -1.307233e-03 6.631360e-05 3.515045e-02 3 1.093650e+01 -2.847527e-03 1.267121e+02 1.169287e-01 
 97 1.876049e+05 -1.307240e-03 4.378969e-05 3.362278e-02 3 9.535217e+00 -2.847601e-03 1.267078e+02 1.169433e-01 
 98 2.814073e+05 -1.307246e-03 4.583152e-05 5.469634e-02 3 8.366254e+00 -2.847571e-03 1.267138e+02 1.169320e-01 
 99 2.110555e+05 -1.307246e-03 7.864647e-05 6.510533e-02 4 1.105417e+01 -2.847669e-03 1.267091e+02 1.169518e-01 
 100 7.914581e+04 -1.307250e-03 1.111815e-04 3.734286e-02 3 1.310322e+01 -2.847567e-03 1.267187e+02 1.169259e-01 
 101 2.374374e+05 -1.307263e-03 3.539909e-05 3.377540e-02 3 5.278099e+00 -2.847646e-03 1.267122e+02 1.169424e-01 
 102 1.780781e+05 -1.307270e-03 4.207128e-05 3.175306e-02 3 1.025362e+01 -2.847626e-03 1.267172e+02 1.169333e-01 
 103 5.342342e+05 -1.307275e-03 4.536664e-05 8.065066e-02 7 5.365883e+00 -2.847672e-03 1.267152e+02 1.169417e-01 
 104 1.001689e+05 -1.307276e-03 1.361410e-04 5.781897e-02 3 1.738198e+01 -2.847593e-03 1.267244e+02 1.169202e-01 
 105 3.005067e+05 -1.307291e-03 6.685440e-05 6.291114e-02 7 5.596604e+00 -2.847707e-03 1.267146e+02 1.169452e-01 
 106 1.126900e+05 -1.307295e-03 1.112138e-04 5.303337e-02 7 1.400175e+01 -2.847614e-03 1.267266e+02 1.169183e-01 
 107 3.380701e+05 -1.307306e-03 6.383795e-05 6.843717e-02 8 6.450447e+00 -2.847711e-03 1.267181e+02 1.169401e-01 
 108 1.267763e+05 -1.307308e-03 1.195719e-04 6.422662e-02 4 1.430596e+01 -2.847621e-03 1.267306e+02 1.169136e-01 
 109 3.803288e+05 -1.307317e-03 8.119545e-05 8.296773e-02 9 6.218598e+00 -2.847739e-03 1.267198e+02 1.169411e-01 
 110 1.426233e+05 -1.307317e-03 1.371974e-04 8.291543e-02 8 1.677320e+01 -2.847631e-03 1.267339e+02 1.169104e-01 
 111 2.139350e+05 -1.307326e-03 1.047428e-04 7.707375e-02 9 9.411761e+00 -2.847782e-03 1.267209e+02 1.169454e-01 
 112 1.604512e+05 -1.307338e-03 1.079546e-04 7.280520e-02 7 1.272873e+01 -2.847668e-03 1.267349e+02 1.169119e-01 
 113 2.406768e+05 -1.307342e-03 9.658612e-05 7.698059e-02 12 9.934583e+00 -2.847793e-03 1.267266e+02 1.169390e-01 
 114 9.025382e+04 -1.307350e-03 1.108281e-04 4.223081e-02 7 1.405811e+01 -2.847691e-03 1.267381e+02 1.169107e-01 
 115 2.707615e+05 -1.307366e-03 3.761485e-05 4.097674e-02 5 5.758598e+00 -2.847770e-03 1.267325e+02 1.169259e-01 
 116 2.030711e+05 -1.307373e-03 5.082037e-05 4.357336e-02 5 1.096498e+01 -2.847743e-03 1.267392e+02 1.169140e-01 
 117 3.046066e+05 -1.307376e-03 6.237988e-05 6.260745e-02 6 8.776773e+00 -2.847808e-03 1.267371e+02 1.169258e-01 
 118 1.142275e+05 -1.307378e-03 9.851155e-05 4.731959e-02 4 1.513377e+01 -2.847743e-03 1.267446e+02 1.169080e-01 
 119 3.426825e+05 -1.307390e-03 4.937654e-05 5.565968e-02 7 5.494929e+00 -2.847820e-03 1.267411e+02 1.169215e-01 
 120 1.285059e+05 -1.307393e-03 8.364347e-05 4.524290e-02 5 1.370807e+01 -2.847759e-03 1.267486e+02 1.169042e-01 
 121 3.855178e+05 -1.307402e-03 5.296007e-05 6.259150e-02 7 5.612660e+00 -2.847830e-03 1.267445e+02 1.169180e-01 
 122 1.445692e+05 -1.307403e-03 9.589697e-05 5.830802e-02 3 1.319483e+01 -2.847759e-03 1.267531e+02 1.168985e-01 
 123 2.168537e+05 -1.307409e-03 7.143870e-05 5.467747e-02 6 9.200112e+00 -2.847849e-03 1.267453e+02 1.169190e-01 
 124 1.626403e+05 -1.307415e-03 7.683216e-05 5.293231e-02 6 1.238112e+01 -2.847769e-03 1.267515e+02 1.168997e-01 
 125 2.439605e+05 -1.307418e-03 7.026378e-05 5.734628e-02 6 7.600289e+00 -2.847843e-03 1.267459e+02 1.169161e-01 
 126 9.148518e+04 -1.307422e-03 8.202804e-05 3.192189e-02 1 1.270994e+01 -2.847764e-03 1.267516e+02 1.168977e-01 
 127 2.744555e+05 -1.307431e-03 3.061504e-05 3.179830e-02 4 5.846127e+00 -2.847812e-03 1.267480e+02 1.169071e-01 
 128 2.058416e+05 -1.307437e-03 3.506174e-05 3.037909e-02 3 9.963885e+00 -2.847780e-03 1.267524e+02 1.168969e-01 
 129 3.087625e+05 -1.307440e-03 4.106652e-05 4.496959e-02 5 8.123953e+00 -2.847801e-03 1.267535e+02 1.168987e-01 
 130 1.157859e+05 -1.307444e-03 6.170476e-05 3.025913e-02 3 1.309945e+01 -2.847745e-03 1.267609e+02 1.168821e-01 
 131 3.473578e+05 -1.307450e-03 3.515564e-05 4.203997e-02 5 4.948449e+00 -2.847782e-03 1.267572e+02 1.168907e-01 
 132 1.302592e+05 -1.307454e-03 5.340049e-05 2.957202e-02 3 1.328923e+01 -2.847732e-03 1.267593e+02 1.168801e-01 
 133 3.907775e+05 -1.307459e-03 3.658353e-05 4.639710e-02 4 5.785353e+00 -2.847766e-03 1.267556e+02 1.168883e-01 
 134 1.465416e+05 -1.307462e-03 6.080779e-05 3.790465e-02 2 1.252026e+01 -2.847713e-03 1.267604e+02 1.168747e-01 
 135 2.198123e+05 -1.307466e-03 5.108666e-05 3.665797e-02 4 7.896480e+00 -2.847759e-03 1.267565e+02 1.168852e-01 
 136 1.648593e+05 -1.307469e-03 5.006111e-05 3.495616e-02 4 1.116973e+01 -2.847709e-03 1.267602e+02 1.168732e-01 
 137 2.472889e+05 -1.307471e-03 4.742556e-05 3.869138e-02 4 8.062325e+00 -2.847749e-03 1.267560e+02 1.168832e-01 
 138 1.854667e+05 -1.307473e-03 5.347545e-05 4.186734e-02 4 1.099231e+01 -2.847699e-03 1.267594e+02 1.168718e-01 
 139 1.391000e+05 -1.307474e-03 5.962549e-05 3.072412e-02 4 1.259502e+01 -2.847752e-03 1.267543e+02 1.168850e-01 
 140 2.086500e+05 -1.307480e-03 2.686759e-05 2.342268e-02 3 7.674940e+00 -2.847712e-03 1.267581e+02 1.168740e-01 
 141 3.129750e+05 -1.307481e-03 2.977807e-05 3.505236e-02 5 7.821604e+00 -2.847735e-03 1.267574e+02 1.168780e-01 
 142 1.173656e+05 -1.307482e-03 5.017046e-05 2.490082e-02 3 1.500808e+01 -2.847697e-03 1.267627e+02 1.168668e-01 
 143 3.520969e+05 -1.307486e-03 2.703019e-05 2.974247e-02 4 5.040379e+00 -2.847734e-03 1.267591e+02 1.168756e-01 
 144 1.320363e+05 -1.307486e-03 4.083912e-05 2.293671e-02 3 1.308904e+01 -2.847705e-03 1.267619e+02 1.168681e-01 
 145 1.980545e+05 -1.307489e-03 2.431340e-05 1.827625e-02 3 8.239794e+00 -2.847739e-03 1.267584e+02 1.168765e-01 
 146 2.970817e+05 -1.307491e-03 2.289453e-05 2.892252e-02 3 8.531178e+00 -2.847720e-03 1.267592e+02 1.168726e-01 
 147 2.228113e+05 -1.307491e-03 3.924104e-05 3.532164e-02 4 1.077604e+01 -2.847755e-03 1.267542e+02 1.168830e-01 
 148 1.671085e+05 -1.307491e-03 4.713736e-05 3.347089e-02 3 1.258961e+01 -2.847708e-03 1.267572e+02 1.168726e-01 
 149 2.506627e+05 -1.307493e-03 4.115999e-05 3.733941e-02 5 8.040049e+00 -2.847759e-03 1.267510e+02 1.168863e-01 
 150 1.879970e+05 -1.307494e-03 5.356102e-05 4.276026e-02 3 9.685401e+00 -2.847706e-03 1.267551e+02 1.168739e-01 
 151 1.409978e+05 -1.307494e-03 5.605092e-05 3.176863e-02 3 1.099477e+01 -2.847774e-03 1.267470e+02 1.168924e-01 
 152 2.114967e+05 -1.307499e-03 2.699468e-05 2.421564e-02 3 7.357578e+00 -2.847727e-03 1.267509e+02 1.168803e-01 
 153 1.586225e+05 -1.307501e-03 3.135039e-05 2.115355e-02 1 8.773111e+00 -2.847759e-03 1.267465e+02 1.168894e-01 
 154 2.379337e+05 -1.307503e-03 2.426196e-05 2.455599e-02 1 7.497259e+00 -2.847729e-03 1.267482e+02 1.168829e-01 
 155 1.784503e+05 -1.307505e-03 3.179351e-05 2.413309e-02 2 1.040064e+01 -2.847757e-03 1.267436e+02 1.168914e-01 
 156 2.676755e+05 -1.307507e-03 3.009674e-05 3.421281e-02 3 7.236831e+00 -2.847724e-03 1.267453e+02 1.168842e-01 
 157 2.007566e+05 -1.307509e-03 4.654335e-05 3.844823e-02 4 1.068714e+01 -2.847765e-03 1.267386e+02 1.168969e-01 
 158 1.505674e+05 -1.307512e-03 4.977285e-05 3.184022e-02 3 1.052590e+01 -2.847706e-03 1.267430e+02 1.168829e-01 
 159 2.258512e+05 -1.307517e-03 3.743973e-05 3.559162e-02 4 7.218592e+00 -2.847754e-03 1.267368e+02 1.168957e-01 
 160 1.693884e+05 -1.307520e-03 4.861479e-05 3.495589e-02 3 9.872525e+00 -2.847702e-03 1.267411e+02 1.168828e-01 
 161 2.540826e+05 -1.307526e-03 4.477936e-05 4.645830e-02 4 8.325664e+00 -2.847749e-03 1.267357e+02 1.168946e-01 
 162 1.905619e+05 -1.307532e-03 6.455330e-05 5.148468e-02 4 1.046694e+01 -2.847681e-03 1.267448e+02 1.168741e-01 
 163 2.858429e+05 -1.307539e-03 6.730831e-05 7.580891e-02 5 8.304525e+00 -2.847753e-03 1.267375e+02 1.168913e-01 
 164 1.071911e+05 -1.307543e-03 1.196370e-04 5.441725e-02 4 1.353230e+01 -2.847625e-03 1.267534e+02 1.168552e-01 
 165 3.215733e+05 -1.307565e-03 6.079772e-05 6.970971e-02 4 5.400346e+00 -2.847727e-03 1.267413e+02 1.168795e-01 
 166 1.205900e+05 -1.307580e-03 9.406981e-05 4.671383e-02 3 1.224074e+01 -2.847621e-03 1.267504e+02 1.168517e-01 
 167 3.617699e+05 -1.307595e-03 5.250323e-05 7.464869e-02 4 5.850649e+00 -2.847703e-03 1.267359e+02 1.168764e-01 
 168 1.356637e+05 -1.307599e-03 1.083633e-04 6.229968e-02 4 1.392967e+01 -2.847584e-03 1.267330e+02 1.168600e-01 
 169 2.034956e+05 -1.307611e-03 6.581922e-05 5.619198e-02 4 8.861565e+00 -2.847702e-03 1.267156e+02 1.168934e-01 
 170 1.526217e+05 -1.307617e-03 7.645534e-05 4.933775e-02 4 1.122195e+01 -2.847595e-03 1.267239e+02 1.168678e-01 
 171 2.289325e+05 -1.307623e-03 5.658083e-05 5.401545e-02 4 8.284601e+00 -2.847681e-03 1.267120e+02 1.168919e-01 
 172 1.716994e+05 -1.307625e-03 8.080467e-05 5.883560e-02 3 1.103897e+01 -2.847578e-03 1.267215e+02 1.168663e-01 
 173 1.287745e+05 -1.307628e-03 7.310548e-05 3.939693e-02 4 1.356860e+01 -2.847681e-03 1.267106e+02 1.168925e-01 
 174 3.863236e+05 -1.307640e-03 3.329328e-05 5.226083e-02 3 4.658043e+00 -2.847611e-03 1.267199e+02 1.168706e-01 
 175 1.448714e+05 -1.307642e-03 6.743713e-05 4.112511e-02 4 1.419207e+01 -2.847655e-03 1.267163e+02 1.168808e-01 
 176 2.173070e+05 -1.307650e-03 3.974098e-05 3.651802e-02 3 7.657693e+00 -2.847581e-03 1.267207e+02 1.168636e-01 
 177 1.629803e+05 -1.307652e-03 4.820699e-05 3.314316e-02 4 1.146611e+01 -2.847623e-03 1.267166e+02 1.168738e-01 
 178 2.444704e+05 -1.307656e-03 3.817950e-05 3.969249e-02 3 7.289448e+00 -2.847564e-03 1.267215e+02 1.168591e-01 
 179 1.833528e+05 -1.307658e-03 5.409903e-05 4.162076e-02 6 1.169846e+01 -2.847608e-03 1.267187e+02 1.168685e-01 
 180 1.375146e+05 -1.307662e-03 5.187873e-05 3.034686e-02 1 9.590102e+00 -2.847534e-03 1.267262e+02 1.168490e-01 
 181 2.062719e+05 -1.307666e-03 3.544196e-05 2.873662e-02 3 9.387014e+00 -2.847575e-03 1.267244e+02 1.168565e-01 
 182 1.547039e+05 -1.307669e-03 3.809830e-05 2.507163e-02 1 1.065634e+01 -2.847524e-03 1.267303e+02 1.168421e-01 
 183 2.320559e+05 -1.307673e-03 3.193500e-05 3.010204e-02 5 9.248734e+00 -2.847551e-03 1.267296e+02 1.168466e-01 
 184 1.740419e+05 -1.307675e-03 4.089282e-05 2.975512e-02 4 1.071821e+01 -2.847498e-03 1.267354e+02 1.168323e-01 
 185 2.610629e+05 -1.307678e-03 3.747235e-05 3.982754e-02 7 1.084975e+01 -2.847533e-03 1.267315e+02 1.168410e-01 
 186 1.957972e+05 -1.307679e-03 6.030987e-05 4.913862e-02 5 1.149366e+01 -2.847457e-03 1.267380e+02 1.168227e-01 
 187 1.468479e+05 -1.307680e-03 6.422812e-05 3.945176e-02 4 1.188255e+01 -2.847528e-03 1.267315e+02 1.168400e-01 
 188 2.202718e+05 -1.307687e-03 3.676445e-05 3.359817e-02 4 7.664911e+00 -2.847453e-03 1.267379e+02 1.168208e-01 
 189 1.652039e+05 -1.307688e-03 4.578421e-05 3.140405e-02 5 1.114269e+01 -2.847490e-03 1.267308e+02 1.168336e-01 
 190 1.239029e+05 -1.307692e-03 3.504740e-05 1.847195e-02 1 9.650286e+00 -2.847429e-03 1.267349e+02 1.168194e-01 
 191 3.717087e+05 -1.307694e-03 2.011412e-05 3.089450e-02 5 6.152061e+00 -2.847452e-03 1.267309e+02 1.168265e-01 
 192 1.393908e+05 -1.307696e-03 3.847332e-05 2.273724e-02 3 1.316095e+01 -2.847400e-03 1.267325e+02 1.168165e-01 
 193 2.090861e+05 -1.307698e-03 2.425524e-05 2.104529e-02 4 9.163613e+00 -2.847431e-03 1.267286e+02 1.168248e-01 
