k t J res re2 iterationGibbs time J1 J2 J3
 0 NaN -1.010040e-03 NaN NaN NaN NaN -2.818232e-03 7.695034e+01 2.073832e-01 
 1 1.683306e+05 -1.010040e-03 1.185533e-02 4.157963e+00 16 1.111920e+01 -2.818232e-03 7.695034e+01 2.073832e-01 
 2 5.049917e+05 -1.276668e-03 2.354637e-03 3.399164e+00 13 1.003651e+01 -2.817423e-03 1.085932e+02 1.346950e-01 
 3 3.787438e+05 -1.281220e-03 2.129509e-03 3.215658e+00 13 1.377602e+01 -2.821957e-03 1.396242e+02 1.043885e-01 
 4 2.840579e+05 -1.286882e-03 2.060016e-03 2.472928e+00 7 1.521317e+01 -2.823021e-03 1.168156e+02 1.259440e-01 
 5 4.260868e+05 -1.289491e-03 1.698593e-03 2.297924e+00 14 1.181049e+01 -2.825684e-03 1.289289e+02 1.141230e-01 
 6 1.597825e+05 -1.291853e-03 2.345215e-03 1.590284e+00 9 1.879225e+01 -2.826220e-03 1.222378e+02 1.203721e-01 
 7 4.793476e+05 -1.292428e-03 1.451533e-03 1.458628e+00 17 8.130431e+00 -2.828936e-03 1.242336e+02 1.187576e-01 
 8 8.987768e+04 -1.298458e-03 1.460648e-03 5.577364e-01 7 2.131576e+01 -2.828686e-03 1.262351e+02 1.158217e-01 
 9 2.696330e+05 -1.298957e-03 8.094245e-04 5.409578e-01 7 6.843160e+00 -2.830102e-03 1.254506e+02 1.167310e-01 
 10 2.022248e+05 -1.300917e-03 3.485239e-04 2.974045e-01 11 1.556343e+01 -2.829592e-03 1.248141e+02 1.169667e-01 
 11 6.066743e+05 -1.301205e-03 3.282913e-04 5.191844e-01 11 8.096272e+00 -2.830211e-03 1.249502e+02 1.168856e-01 
 12 1.137514e+05 -1.301826e-03 4.640347e-04 2.241960e-01 6 1.824551e+01 -2.830583e-03 1.250816e+02 1.167183e-01 
 13 3.412543e+05 -1.301947e-03 3.607341e-04 2.808280e-01 10 7.298638e+00 -2.831345e-03 1.250082e+02 1.168902e-01 
 14 1.279704e+05 -1.302322e-03 3.440814e-04 1.858879e-01 10 1.497314e+01 -2.831456e-03 1.250691e+02 1.167895e-01 
 15 3.839111e+05 -1.302391e-03 2.824667e-04 2.860263e-01 11 7.529852e+00 -2.832180e-03 1.250605e+02 1.169001e-01 
 16 7.198333e+04 -1.302681e-03 3.830990e-04 1.170237e-01 11 1.740129e+01 -2.832423e-03 1.251773e+02 1.167787e-01 
 17 2.159500e+05 -1.302792e-03 2.123967e-04 1.466089e-01 10 6.058389e+00 -2.832917e-03 1.251429e+02 1.168722e-01 
 18 3.239250e+05 -1.302968e-03 1.780569e-04 2.383305e-01 12 1.067740e+01 -2.833086e-03 1.251729e+02 1.168418e-01 
 19 9.717750e+05 -1.303066e-03 2.792496e-04 6.187377e-01 11 8.865877e+00 -2.833921e-03 1.251906e+02 1.169396e-01 
 20 9.110391e+04 -1.303145e-03 8.555220e-04 3.312244e-01 3 2.079648e+01 -2.834871e-03 1.253272e+02 1.169423e-01 
 21 2.733117e+05 -1.303190e-03 6.163709e-04 3.175365e-01 10 7.011474e+00 -2.836069e-03 1.252147e+02 1.172324e-01 
 22 1.024919e+05 -1.303878e-03 3.005622e-04 1.282956e-01 9 1.407558e+01 -2.835790e-03 1.253707e+02 1.169289e-01 
 23 3.074757e+05 -1.303960e-03 2.325315e-04 2.008599e-01 10 7.598427e+00 -2.836286e-03 1.253696e+02 1.169948e-01 
 24 1.153034e+05 -1.304142e-03 2.835098e-04 1.384574e-01 4 1.454359e+01 -2.836448e-03 1.254878e+02 1.168761e-01 
 25 3.459101e+05 -1.304208e-03 2.608530e-04 2.214969e-01 9 6.581137e+00 -2.836979e-03 1.254820e+02 1.169545e-01 
 26 1.297163e+05 -1.304413e-03 2.907343e-04 1.595506e-01 5 1.634276e+01 -2.837184e-03 1.256017e+02 1.168376e-01 
 27 3.891489e+05 -1.304455e-03 2.528371e-04 2.499598e-01 10 6.838041e+00 -2.837815e-03 1.256006e+02 1.169307e-01 
 28 7.296542e+04 -1.304668e-03 3.339055e-04 1.032433e-01 3 1.703207e+01 -2.838041e-03 1.257240e+02 1.168121e-01 
 29 2.188963e+05 -1.304755e-03 1.777661e-04 1.291952e-01 5 7.319856e+00 -2.838477e-03 1.257045e+02 1.168858e-01 
 30 1.641722e+05 -1.304872e-03 1.705590e-04 1.176200e-01 7 1.096559e+01 -2.838617e-03 1.257594e+02 1.168356e-01 
 31 4.925166e+05 -1.304929e-03 1.735841e-04 2.525201e-01 10 7.041222e+00 -2.839056e-03 1.257673e+02 1.168877e-01 
