k t J res re2 iterationGibbs time J1 J2 J3
 0 NaN 1.368757e-02 NaN NaN NaN NaN -1.373591e-03 2.737644e+02 1.716170e+00 
 1 1.500000e+00 1.368757e-02 8.778458e-01 1.205269e-03 5 2.986060e-01 -1.373591e-03 2.737644e+02 1.716170e+00 
 2 4.500000e+00 1.368563e-02 8.777718e-01 3.612997e-03 4 3.285060e-01 -1.373795e-03 2.737297e+02 1.716172e+00 
 3 1.350000e+01 1.367982e-02 8.775499e-01 1.082033e-02 4 2.581810e-01 -1.374403e-03 2.736258e+02 1.716174e+00 
 4 4.050000e+01 1.366248e-02 8.768847e-01 3.235546e-02 4 2.429490e-01 -1.376156e-03 2.733139e+02 1.716180e+00 
 5 1.215000e+02 1.361070e-02 8.749144e-01 9.664270e-02 4 2.612780e-01 -1.381251e-03 2.723800e+02 1.716185e+00 
 6 3.645000e+02 1.345707e-02 8.690005e-01 2.867196e-01 3 2.452650e-01 -1.395508e-03 2.695941e+02 1.716090e+00 
 7 1.093500e+03 1.300734e-02 8.518596e-01 8.357132e-01 1 2.914150e-01 -1.433439e-03 2.613784e+02 1.714822e+00 
 8 3.280500e+03 1.175014e-02 8.084853e-01 2.365226e+00 3 2.155370e-01 -1.515417e-03 2.380015e+02 1.706848e+00 
 9 9.841500e+03 8.567415e-03 6.845896e-01 5.964026e+00 4 2.375530e-01 -1.692090e-03 1.787943e+02 1.649735e+00 
 10 2.952450e+04 2.880889e-03 3.820797e-01 7.598166e+00 6 2.814730e-01 -2.024623e-03 7.757442e+01 1.283488e+00 
 11 4.428675e+04 6.829677e-04 1.233658e-01 3.988318e+00 7 3.067100e-01 -2.321635e-03 5.030395e+01 6.117567e-01 
 12 3.321506e+04 6.336891e-04 1.189751e-01 3.341411e+00 6 3.921220e-01 -2.420450e-03 5.200109e+01 5.676059e-01 
 13 2.491130e+04 4.808563e-04 7.509659e-02 1.627250e+00 4 3.844210e-01 -2.418318e-03 4.949900e+01 5.302797e-01 
 14 3.736695e+04 3.977237e-04 2.360207e-02 7.481664e-01 4 2.900650e-01 -2.457024e-03 4.853216e+01 5.351750e-01 
 15 2.802521e+04 3.940632e-04 2.513531e-02 6.000858e-01 4 3.839620e-01 -2.449406e-03 4.862945e+01 5.149956e-01 
 16 2.101891e+04 3.872927e-04 1.813030e-02 3.163845e-01 4 3.800460e-01 -2.475460e-03 4.899580e+01 5.162028e-01 
 17 6.305672e+04 3.824481e-04 9.193904e-03 3.055181e-01 4 2.177480e-01 -2.469567e-03 4.891601e+01 5.077680e-01 
 18 2.364627e+04 3.800948e-04 1.308712e-02 2.484735e-01 4 7.058700e-01 -2.482773e-03 4.921229e+01 5.028162e-01 
 19 1.773470e+04 3.781376e-04 5.578954e-03 8.861573e-02 3 5.293420e-01 -2.476249e-03 4.910704e+01 4.987938e-01 
 20 2.660205e+04 3.777697e-04 1.231486e-03 2.259432e-02 2 3.957560e-01 -2.479423e-03 4.914471e+01 4.999463e-01 
 21 1.995154e+04 3.777574e-04 6.727546e-04 1.203435e-02 2 4.134660e-01 -2.478621e-03 4.913581e+01 4.994856e-01 
 22 2.992731e+04 3.777519e-04 2.043070e-04 5.484885e-03 1 2.657160e-01 -2.479032e-03 4.914251e+01 4.995733e-01 
 23 2.244548e+04 3.777515e-04 1.711266e-04 3.445587e-03 1 3.295500e-01 -2.478862e-03 4.914115e+01 4.994452e-01 
 24 1.683411e+04 3.777512e-04 7.665051e-05 1.157503e-03 1 3.330870e-01 -2.478987e-03 4.914331e+01 4.994664e-01 
 25 5.050234e+04 3.777511e-04 1.755744e-05 7.954071e-04 1 1.654760e-01 -2.478953e-03 4.914300e+01 4.994419e-01 
 26 1.893838e+04 3.777511e-04 1.292695e-05 2.196118e-04 1 4.058450e-01 -2.478972e-03 4.914368e+01 4.994235e-01 
 27 2.840756e+04 3.777511e-04 3.154479e-06 8.038563e-05 1 2.404620e-01 -2.478965e-03 4.914361e+01 4.994197e-01 
 28 2.130567e+04 3.777511e-04 2.362753e-06 4.515754e-05 1 3.206270e-01 -2.478969e-03 4.914369e+01 4.994195e-01 
 29 3.195851e+04 3.777511e-04 9.603832e-07 2.753264e-05 1 2.478010e-01 -2.478968e-03 4.914368e+01 4.994185e-01 
 30 2.396888e+04 3.777511e-04 8.789650e-07 1.889888e-05 1 3.256310e-01 -2.478969e-03 4.914370e+01 4.994184e-01 
 31 1.797666e+04 3.777511e-04 4.743888e-07 7.649979e-06 1 3.229140e-01 -2.478968e-03 4.914370e+01 4.994180e-01 
 32 5.392999e+04 3.777511e-04 1.188346e-07 5.748967e-06 1 2.571020e-01 -2.478969e-03 4.914370e+01 4.994181e-01 
 33 2.022374e+04 3.777511e-04 1.688820e-07 3.063809e-06 1 4.563350e-01 -2.478969e-03 4.914371e+01 4.994179e-01 
 34 3.033562e+04 3.777511e-04 5.014716e-08 1.364633e-06 1 2.759300e-01 -2.478969e-03 4.914371e+01 4.994179e-01 
